llgsolver.__version__: 0.5.1
u0Ms = 0.9047786842338604 T
h_ani_x = 0.01 T
h_ani_z = -7.66477868423386 T
h_therm = 0.0 T
Start hysteresis calculation with 101 points...
current/total       init_r1     init_θ1     init_φ1     init_r2     init_θ2     init_φ2
      1/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
      2/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
      3/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
      4/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
      5/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
      6/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
      7/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
      8/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
      9/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     10/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     11/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     12/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     13/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     14/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     15/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     16/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     17/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     18/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     19/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     20/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     21/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     22/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     23/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     24/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     25/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     26/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     27/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     28/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     29/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     30/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     31/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     32/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     33/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     34/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     35/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     36/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     37/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     38/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     39/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     40/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57948817  6.20536811 
     41/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
     42/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079652  6.28318043 
     43/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  6.28318530 
     44/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
     45/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079601  6.28318460 
     46/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
     47/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079665  6.28318365 
     48/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  6.28318530 
     49/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
     50/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079604  6.28318255 
     51/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
     52/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079668  6.28318469 
     53/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
     54/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079604  6.28318255 
     55/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  6.28318530 
     56/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
     57/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079665  6.28318365 
     58/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
     59/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079601  6.28318460 
     60/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  6.28318531 
     61/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
     62/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079652  6.28318043 
