llgsolver.__version__: 0.5.1
h_ani_x = 0.01 T
h_ani_z = -7.66477868423386 T
h_therm = 0.0 T
Start hysteresis calculation with 101 points...
current/total       init_r1     init_θ1     init_φ1     init_r2     init_θ2     init_φ2
      1/101      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  0.00000000 
      2/101      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  1.74434554 
      3/101      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  0.83011707 
      4/101      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  3.54453266 
      5/101      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  3.60099506 
      6/101      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  0.99811315 
      7/101      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  2.02367420 
      8/101      1.00000000  0.01000000  0.00000000  1.00000000  3.12287591  5.75701133 
      9/101      1.00000000  0.01000000  0.00000000  1.00000000  2.77492934  2.72508614 
     10/101      1.00000000  0.01000000  0.00000000  1.00000000  2.65950970  6.28255620 
     11/101      1.00000000  0.01000000  0.00000000  1.00000000  2.55693369  3.14162184 
     12/101      1.00000000  0.01000000  0.00000000  1.00000000  2.46831411  6.28318501 
     13/101      1.00000000  0.01000000  0.00000000  1.00000000  2.38862493  0.00000008 
     14/101      1.00000000  0.01000000  0.00000000  1.00000000  2.31521445  0.00000000 
     15/101      1.00000000  0.01000000  0.00000000  1.00000000  2.24647267  0.00000000 
     16/101      1.00000000  0.01000000  0.00000000  1.00000000  2.18133199  3.14159265 
     17/101      1.00000000  0.01000000  0.00000000  1.00000000  2.11903831  0.00000000 
     18/101      1.00000000  0.01000000  0.00000000  1.00000000  2.05903253  3.14159265 
     19/101      1.00000000  0.01000000  0.00000000  1.00000000  2.00088361  0.00000000 
     20/101      1.00000000  0.01000000  0.00000000  1.00000000  1.94424801  3.14159265 
     21/101      1.00000000  0.01000000  0.00000000  1.00000000  1.88884385  0.00000000 
     22/101      1.00000000  0.01000000  0.00000000  1.00000000  1.83443356  3.14159265 
     23/101      1.00000000  0.01000000  0.00000000  1.00000000  1.78081183  0.00000000 
     24/101      1.00000000  0.01000000  0.00000000  1.00000000  1.72779682  3.14159265 
     25/101      1.00000000  0.01000000  0.00000000  1.00000000  1.67522355  0.00000000 
     26/101      1.00000000  0.01000000  0.00000000  1.00000000  1.62293872  3.14159265 
     27/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
     28/101      1.00000000  0.01000000  0.00000000  1.00000000  1.51865394  3.14159265 
     29/101      1.00000000  0.01000000  0.00000000  1.00000000  1.46636910  0.00000000 
     30/101      1.00000000  0.01000000  0.00000000  1.00000000  1.41379583  3.14159265 
     31/101      1.00000000  0.01000000  0.00000000  1.00000000  1.36078082  0.00000000 
     32/101      1.00000000  0.01000000  0.00000000  1.00000000  1.30715909  3.14159265 
     33/101      1.00000000  0.01000000  0.00000000  1.00000000  1.25274881  0.00000000 
     34/101      1.00000000  0.01000000  0.00000000  1.00000000  1.19734465  3.14159265 
     35/101      1.00000000  0.01000000  0.00000000  1.00000000  1.14070905  0.00000000 
     36/101      1.00000000  0.01000000  0.00000000  1.00000000  1.08256012  3.14159265 
     37/101      1.00000000  0.01000000  0.00000000  1.00000000  1.02255435  0.00000000 
     38/101      1.00000000  0.01000000  0.00000000  1.00000000  0.96026066  3.14159265 
     39/101      1.00000000  0.01000000  0.00000000  1.00000000  0.89511998  0.00000000 
     40/101      1.00000000  0.01000000  0.00000000  1.00000000  0.82637820  0.00000000 
     41/101      1.00000000  0.01000000  0.00000000  1.00000000  0.75296773  6.28318528 
     42/101      1.00000000  0.01000000  0.00000000  1.00000000  0.67327854  3.14159284 
     43/101      1.00000000  0.01000000  0.00000000  1.00000000  0.58465998  6.28317724 
     44/101      1.00000000  0.01000000  0.00000000  1.00000000  0.48208456  3.14151829 
     45/101      1.00000000  0.01000000  0.00000000  1.00000000  0.35418690  3.12275415 
     46/101      1.00000000  0.01000000  0.00000000  1.00000000  0.14252765  4.19228696 
     47/101      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  1.19999795 
     48/101      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  3.80178163 
     49/101      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  3.74526558 
     50/101      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  1.03133890 
     51/101      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  1.94583366 
     52/101      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  0.20077169 
     53/101      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  1.11267167 
     54/101      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  4.68308743 
     55/101      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  4.62634109 
     56/101      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  0.94332247 
     57/101      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  6.22184031 
     58/101      1.00000000  0.01000000  0.00000000  1.00000000  0.01989520  2.54646065 
     59/101      1.00000000  0.01000000  0.00000000  1.00000000  0.35389114  0.62119267 
     60/101      1.00000000  0.01000000  0.00000000  1.00000000  0.48210078  0.00098969 
     61/101      1.00000000  0.01000000  0.00000000  1.00000000  0.58465895  3.14156352 
     62/101      1.00000000  0.01000000  0.00000000  1.00000000  0.67327854  0.00000029 
     63/101      1.00000000  0.01000000  0.00000000  1.00000000  0.75296772  6.28318523 
     64/101      1.00000000  0.01000000  0.00000000  1.00000000  0.82637820  6.28318530 
     65/101      1.00000000  0.01000000  0.00000000  1.00000000  0.89511998  0.00000000 
     66/101      1.00000000  0.01000000  0.00000000  1.00000000  0.96026066  3.14159265 
     67/101      1.00000000  0.01000000  0.00000000  1.00000000  1.02255435  6.28318531 
     68/101      1.00000000  0.01000000  0.00000000  1.00000000  1.08256012  3.14159265 
     69/101      1.00000000  0.01000000  0.00000000  1.00000000  1.14070905  6.28318531 
     70/101      1.00000000  0.01000000  0.00000000  1.00000000  1.19734465  3.14159265 
     71/101      1.00000000  0.01000000  0.00000000  1.00000000  1.25274881  0.00000000 
     72/101      1.00000000  0.01000000  0.00000000  1.00000000  1.30715909  3.14159265 
     73/101      1.00000000  0.01000000  0.00000000  1.00000000  1.36078082  0.00000000 
     74/101      1.00000000  0.01000000  0.00000000  1.00000000  1.41379583  3.14159265 
     75/101      1.00000000  0.01000000  0.00000000  1.00000000  1.46636910  6.28318531 
     76/101      1.00000000  0.01000000  0.00000000  1.00000000  1.51865394  3.14159265 
     77/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  6.28318531 
