llgsolver.__version__: 0.5.1
u0Ms = 0.9047786842338604 T
h_ani_x = 0 T
h_ani_z = 0.01 T
h_therm = 0.0 T
Start hysteresis calculation with 201 points...
current/total       init_r1     init_θ1     init_φ1     init_r2     init_θ2     init_φ2
      1/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
      2/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
      3/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
      4/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
      5/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
      6/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
      7/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
      8/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
      9/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     10/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     11/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     12/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     13/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     14/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     15/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     16/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     17/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     18/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     19/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     20/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     21/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     22/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     23/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     24/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     25/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     26/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     27/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     28/201      1.00000000  0.01000000  0.00000000  1.00000000  1.28716500  3.14133889 
     29/201      1.00000000  0.01000000  0.00000000  1.00000000  1.16845832  3.14164078 
     30/201      1.00000000  0.01000000  0.00000000  1.00000000  1.07608681  3.14157443 
     31/201      1.00000000  0.01000000  0.00000000  1.00000000  0.99715151  3.14162648 
     32/201      1.00000000  0.01000000  0.00000000  1.00000000  0.92726325  3.14165801 
     33/201      1.00000000  0.01000000  0.00000000  1.00000000  0.86337655  3.14159535 
     34/201      1.00000000  0.01000000  0.00000000  1.00000000  0.80381572  3.14155160 
     35/201      1.00000000  0.01000000  0.00000000  1.00000000  0.74778087  3.14156406 
     36/201      1.00000000  0.01000000  0.00000000  1.00000000  0.69449621  3.14162114 
     37/201      1.00000000  0.01000000  0.00000000  1.00000000  0.64351292  3.14161078 
     38/201      1.00000000  0.01000000  0.00000000  1.00000000  0.59437209  3.14158942 
     39/201      1.00000000  0.01000000  0.00000000  1.00000000  0.54684013  3.14159496 
     40/201      1.00000000  0.01000000  0.00000000  1.00000000  0.50066323  3.14159639 
     41/201      1.00000000  0.01000000  0.00000000  1.00000000  0.45559958  3.14160716 
     42/201      1.00000000  0.01000000  0.00000000  1.00000000  0.41152205  3.14159936 
     43/201      1.00000000  0.01000000  0.00000000  1.00000000  0.36826405  3.14158412 
     44/201      1.00000000  0.01000000  0.00000000  1.00000000  0.32573183  3.14158174 
     45/201      1.00000000  0.01000000  0.00000000  1.00000000  0.28379477  3.14157969 
     46/201      1.00000000  0.01000000  0.00000000  1.00000000  0.24236269  3.14159804 
     47/201      1.00000000  0.01000000  0.00000000  1.00000000  0.20135935  3.14157906 
     48/201      1.00000000  0.01000000  0.00000000  1.00000000  0.16069342  3.14158749 
     49/201      1.00000000  0.01000000  0.00000000  1.00000000  0.12029111  3.14157253 
     50/201      1.00000000  0.01000000  0.00000000  1.00000000  0.08008313  3.14160398 
     51/201      1.00000000  0.01000000  0.00000000  1.00000000  0.04001167  3.14153415 
     52/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  2.74523604 
     53/201      1.00000000  0.01000000  0.00000000  1.00000000  0.04000974  0.00007493 
