llgsolver.__version__: 0.5.1
u0Ms = 0.9173450548482196 T
h_ani_x = 0 T
h_ani_z = 0.29265494515178037 T
h_therm = 0.0 T
Start hysteresis calculation with 201 points...
current/total       init_r1     init_θ1     init_φ1     init_r2     init_θ2     init_φ2
      1/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  0.00000000 
      2/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  1.39918049 
      3/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  3.76999865 
      4/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  0.82926971 
      5/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  5.14336418 
      6/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  4.14591256 
      7/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  4.12009952 
      8/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  5.06592557 
      9/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  0.70020546 
     10/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  3.58931029 
     11/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  1.16686954 
     12/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  5.99925444 
     13/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  5.52009447 
     14/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  6.01257542 
     15/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  1.19351231 
     16/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  3.62927622 
     17/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  0.75349740 
     18/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  5.13254651 
     19/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  4.20005345 
     20/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  4.23920412 
     21/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  5.24999908 
     22/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  0.94925369 
     23/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  3.90333940 
     24/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  1.54588623 
     25/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  0.16008031 
     26/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  6.02910788 
     27/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  0.30341401 
     28/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  1.83255568 
     29/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  4.33334877 
     30/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  1.52260931 
     31/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  5.96670935 
     32/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  5.09927994 
     33/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  5.20350815 
     34/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  6.27939617 
     35/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  2.04376077 
     36/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  5.06297513 
     37/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  2.77067156 
