Slices = [:,0,:]
     Txc_x_eV      Txc_y_eV      Txc_z_eV      Tso_x_eV      Tso_y_eV      Tso_z_eV       A0_x_eV       A0_y_eV       A0_z_eV      Aso_x_eV      Aso_y_eV      Aso_z_eV     Atot_x_eV     Atot_y_eV     Atot_z_eV      Axc_x_eV      Axc_y_eV      Axc_z_eV
 3.779839e-16  8.621829e-06 -2.209596e-17 -1.491424e-17  6.616644e-07  3.836704e-16  2.400860e-15 -2.620950e-05 -1.874516e-15 -3.877405e-15  1.235583e-05  5.507428e-16 -3.757356e-16 -9.283494e-06 -2.471836e-16  1.032300e-15  4.570184e-06  1.498736e-16
 7.107299e-16 -2.526641e-05  3.243792e-16  5.460663e-16  2.720071e-04 -9.043112e-16  2.073569e-14 -2.882230e-04  3.226940e-16 -1.465852e-14  2.415093e-05  8.581217e-17 -1.231353e-15 -2.467407e-04  8.480587e-16 -7.168248e-15  1.733141e-05  9.215533e-16
 6.005867e-15 -4.274146e-05 -3.269511e-15 -2.209590e-15  4.505605e-04  1.612789e-15 -6.442746e-15 -4.686618e-04 -4.767370e-16  9.399581e-15  3.413536e-05 -3.293512e-15 -3.797203e-15 -4.078190e-04  1.587248e-15 -6.621725e-15  2.670746e-05  5.246266e-15
-2.731440e-15 -4.969366e-05  4.785333e-15 -5.670526e-16  4.877025e-04 -1.530620e-15  1.415651e-15 -5.068606e-04 -5.682007e-15  3.329816e-15  3.892988e-05  1.112692e-15  3.313065e-15 -4.380088e-04 -3.197879e-15 -1.244614e-15  2.992188e-05  1.314895e-15
 2.727874e-16 -4.185829e-05 -7.249800e-16 -1.761919e-17  3.940870e-04  4.838970e-16  1.688617e-15 -4.172592e-04  5.774591e-16 -1.552608e-15  3.743459e-05  1.656625e-16 -2.652823e-16 -3.522287e-04  5.449158e-16 -3.170509e-16  2.759587e-05 -1.779388e-16
 2.265384e-16 -1.845141e-05 -2.050126e-16  7.272413e-16  2.173342e-04 -2.998066e-15  6.181530e-15 -2.504773e-04 -3.135650e-15 -5.127506e-15  3.055768e-05  3.343566e-16 -9.336034e-16 -1.988828e-04  3.162132e-15 -2.011796e-15  2.103683e-05  7.154838e-15
 3.865405e-18  7.360416e-06 -4.293997e-16 -1.883491e-16 -4.763039e-07  1.845056e-17  9.098195e-16 -3.773219e-05  1.114691e-15 -6.780766e-16  2.010534e-05 -4.248801e-16  2.124290e-16 -6.884112e-06  3.799468e-16  3.896749e-17  1.074273e-05 -3.940567e-16
-6.639582e-16  3.734987e-05  7.210528e-16  9.228477e-16 -2.166627e-04 -2.582036e-15 -6.769740e-15  1.736591e-04  4.226357e-15  7.203718e-15  8.153952e-06 -1.890931e-15 -2.848255e-16  1.793128e-04  1.592717e-15 -6.824315e-16 -2.500282e-06 -1.376048e-15
-3.037348e-15  5.189352e-05 -5.560820e-15 -1.264698e-16 -3.900531e-04 -1.227051e-15  3.890986e-15  3.545129e-04 -4.578861e-15 -6.108746e-15 -1.548554e-06  1.068125e-15  3.149181e-15  3.381596e-04  7.096496e-15  5.511920e-15 -1.480483e-05  1.020398e-14
 4.169969e-15  6.907026e-05  6.960632e-15  2.128812e-16 -4.804372e-04  6.029219e-16  8.219246e-15  4.376513e-04 -9.072225e-16 -6.674143e-15 -6.642451e-06 -1.504689e-15 -4.408355e-15  4.113670e-04 -7.652434e-15 -6.037838e-15 -1.964191e-05 -5.227887e-15
 2.795314e-15  7.281753e-05  2.394616e-15  7.608043e-16 -4.421919e-04 -3.566325e-16  3.041923e-15  3.918570e-04  2.653707e-15 -1.860742e-15 -5.304697e-06 -1.350840e-15 -3.509964e-15  3.693744e-04 -1.770459e-15 -4.700001e-15 -1.717795e-05 -3.304275e-15
 3.221801e-16  5.074897e-05  4.046317e-16  2.544534e-16 -2.673032e-04 -4.397226e-16  1.056014e-14  2.228945e-04  1.586093e-16 -1.005441e-14  1.894287e-06 -4.289967e-16 -5.566213e-16  2.165543e-04  4.602849e-16 -1.163693e-15 -8.234580e-06 -3.906032e-16
 4.164985e-16  8.713174e-06 -2.476814e-18 -1.297536e-16  6.619812e-07  4.931963e-17  3.168864e-15 -2.628946e-05  4.615726e-16 -3.215980e-15  1.235256e-05 -9.985260e-16 -2.598299e-16 -9.375155e-06  6.585969e-18 -8.583589e-17  4.561744e-06  4.943733e-18
