Sum all sites
     Txc_x_eV      Txc_y_eV      Txc_z_eV      Tso_x_eV      Tso_y_eV      Tso_z_eV       A0_x_eV       A0_y_eV       A0_z_eV      Aso_x_eV      Aso_y_eV      Aso_z_eV     Atot_x_eV     Atot_y_eV     Atot_z_eV      Axc_x_eV      Axc_y_eV      Axc_z_eV
-2.456736e-16  2.525705e-06  4.038840e-18  1.411366e-16 -2.525705e-06 -3.996257e-18  1.801055e-17 -4.536302e-16 -6.052748e-15 -2.517896e-16 -6.396793e-16 -1.319676e-15  4.231526e-18  1.024537e-16  6.486936e-15 -5.775022e-17  1.029992e-17  8.575036e-16
 1.532946e-15 -3.983724e-04 -1.872186e-15 -1.626302e-15  3.983724e-04  1.865546e-15 -4.865005e-16 -7.331375e-16 -2.950711e-15  2.590930e-17 -2.914335e-16  2.384906e-15 -1.541816e-16 -1.701384e-16  1.608661e-15  7.804438e-17 -1.962677e-16  2.271597e-15
-4.636429e-15 -6.788914e-04  7.416016e-16  4.671752e-15  6.788914e-04 -7.598844e-16  4.595946e-16  2.135878e-16 -5.424960e-15 -1.576430e-16 -2.970714e-16 -6.522875e-16 -7.544310e-16 -1.362300e-16 -3.211906e-15 -6.329117e-16  2.873136e-18  3.401173e-16
-1.587184e-16 -7.635580e-04 -9.884199e-16  1.918728e-16  7.635580e-04  9.881438e-16  4.884201e-17  4.119968e-16 -2.388410e-15 -1.425745e-16 -6.093216e-16 -1.882153e-15  1.151030e-15 -5.166223e-16  4.324917e-15  3.782419e-16  1.085557e-16 -4.775637e-16
-1.033094e-15 -6.390229e-04  1.232735e-15  1.103801e-15  6.390229e-04 -1.217044e-15  5.832441e-16 -9.211382e-16  2.022893e-15 -5.014999e-16  5.117434e-17  1.424948e-15 -7.461069e-16 -1.007224e-16 -1.813151e-15 -3.840280e-16 -4.548770e-16 -7.244446e-17
-2.069292e-15 -3.716858e-04 -6.016319e-15  2.041385e-15  3.716858e-04  5.944096e-15  1.145221e-15  5.421011e-18  2.995414e-15 -7.293948e-17  1.222980e-16  7.970540e-16 -2.584112e-16 -1.774839e-16 -3.810049e-15  1.272465e-16 -4.170790e-16 -1.336889e-16
-1.316560e-16 -2.950221e-05  2.227262e-16  1.436959e-16  2.950221e-05 -1.936538e-16  4.867032e-16  2.883978e-16  3.182148e-15 -5.726362e-16 -1.196959e-16  6.068861e-16 -6.101574e-16  1.601231e-17  2.479091e-15  4.470687e-16 -1.900064e-16 -2.879598e-17
-2.784377e-15  3.246122e-04 -2.236047e-15  2.664182e-15 -3.246122e-04  2.214350e-15 -4.349277e-17 -3.005408e-16 -6.923292e-16  3.494003e-16 -1.312535e-15 -2.927021e-15 -2.057882e-16 -6.565657e-16 -2.657683e-16 -5.975206e-16 -1.587136e-16 -3.169732e-16
-4.882406e-16  6.224467e-04 -2.710861e-15  5.469520e-16 -6.224467e-04  2.724450e-15 -1.236097e-15 -7.651215e-16 -2.230738e-15  3.478775e-16  3.601720e-16 -7.921567e-16 -1.816945e-16 -1.540651e-16 -4.786042e-15 -4.652551e-16 -2.499899e-16 -5.134845e-16
-8.129545e-15  7.832609e-04  1.523474e-14  8.158917e-15 -7.832609e-04 -1.524916e-14 -1.133724e-15 -3.784950e-16  3.414366e-15 -7.625385e-16 -2.658464e-16  8.351868e-16 -1.562611e-15  1.142749e-16 -1.204315e-15 -4.432991e-16 -4.246278e-16  6.750954e-16
 1.388065e-14  7.146452e-04 -4.908026e-14 -1.382628e-14 -7.146452e-04  4.904899e-14 -1.943111e-16 -1.040292e-16 -7.263477e-15  4.081815e-17  4.163336e-16 -4.075760e-16 -1.897049e-16 -2.748995e-16  1.631514e-15 -5.126589e-17 -3.156113e-16  1.262667e-15
-3.758663e-16  4.182915e-04  9.681472e-16  3.867447e-16 -4.182915e-04 -9.948264e-16  6.538713e-16  8.178137e-16 -1.162668e-15 -1.129915e-15 -6.500876e-16  6.123408e-16 -8.882347e-17 -4.250615e-16  4.743562e-15 -2.664152e-16 -5.393906e-17 -1.047905e-15
-1.320350e-16  2.558972e-06 -3.500246e-17  5.763604e-17 -2.558972e-06  4.655473e-17 -1.660421e-17 -3.612562e-16  1.859398e-15  3.047255e-16  1.617630e-16  1.945940e-16 -7.570294e-18 -8.354455e-17  9.060890e-15  1.600418e-17  6.098637e-18 -2.113679e-16
